Ref_Frame_Lat_Pos [deg],Ref_Frame_Long_Pos [deg],Ref_Frame_Alt_Pos [m],Drone_Lat_Pos [deg],Drone_Long_Pos [deg],Drone_Alt_Pos [m],de_X_pos [m],dn_Y_pos [m],du_Z_pos [m]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
[52.211309],[21.001001],[0.],[[52.21132697]],[[21.00103026]],[[1.00000063]],[-2.00000099],[-1.99999868],[1.]
[52.211309],[21.001001],[0.],[[52.21129103]],[[21.00097174]],[[1.00000063]],[1.99999776],[2.0000003],[1.]
